State,Agricultural Equipment,Airport Equipment,Industrial Equipment,Commercial Equipment,Construction and Mining Equipment,Pleasure Craft,Lawn and Garden Equipment (Com),Lawn and Garden Equipment (Res),Logging Equipment,Recreational Equipment,Railroad Equipment,GrandTotal
Alabama,527.5862793,10.39092599,764.9697072,16161.1961,1945.826577,36978.15067,25098.70197,16599.18688,1715.835142,36978.15067,26.43971541,
Alaska,8.415405652,35.80467633,456.4742639,2087.115855,330.6145295,5051.771537,1309.272725,2265.92728,201.6596218,5051.771537,3.165801417,
Arizona,234.8100451,65.77732032,447.884751,18516.17606,4374.612852,18685.8888,55563.34508,19257.95483,20.60457356,18685.8888,32.29441231,
Arkansas,1972.056147,6.439324099,659.7405738,9863.575999,1020.744267,20140.0527,10465.42904,9903.441589,1128.471995,20140.0527,33.89410861,
California,2238.798556,270.4935789,4355.409817,163788.3759,14385.61367,110552.863,311265.5768,103482.8543,987.2489816,110552.863,83.82455015,
Colorado,1149.490744,57.39066228,1447.48645,20809.77412,2865.387729,8345.136513,43333.73444,16498.34893,70.20712714,8345.136513,20.90024273,
Connecticut,34.70666062,11.29635186,474.4670257,13382.09591,1174.166315,21561.5677,25884.36444,11996.87864,39.89186554,21561.5677,17.0877439,
Delaware,114.5284749,0.191652263,106.786853,2659.119434,395.9381493,11169.24635,6956.586521,2900.6421,16.13366131,11169.24635,0.407001822,
District of Columbia,0,0,17.55747955,943.1085302,451.2363893,670.3611614,173.3531557,2331.846103,0,670.3611614,0.564482567,
Florida,611.7821118,186.7202817,882.454655,85825.66573,12663.27854,178850.6257,161830.1174,62824.42853,776.7876709,178850.6257,17.10418459,
Georgia,858.3014749,99.07945016,883.7707465,37994.99617,5018.664395,35008.31873,67775.71446,28737.99949,1894.695242,35008.31873,40.96908722,
Hawaii,28.94540904,52.98074284,24.81809328,5100.598847,448.88008,4565.332034,9020.868198,3876.906433,0,4565.332034,0,
Idaho,1140.588149,6.005707258,135.5738315,5516.347257,752.1409241,9311.14381,8270.772766,4722.2217,406.6869355,9311.14381,15.85881816,
Illinois,5966.44073,128.4395569,1831.978239,57471.01891,4927.50617,39073.45379,63586.70999,42597.09411,142.7089215,39073.45379,76.63057216,
Indiana,3156.668842,20.36830497,1257.860987,23547.02252,3232.229586,16530.41449,37368.49612,22309.32632,195.9255661,16530.41449,34.61106474,
Iowa,6344.964029,7.603083943,455.9861805,13959.67697,1608.230762,14876.8599,11756.085,10754.9984,75.09648248,14876.8599,33.47978301,
Kansas,5018.12411,3.811851318,1071.280147,13167.24513,1124.456892,7141.923998,14457.39335,9882.974669,35.65996401,7141.923998,47.52709884,
Kentucky,1316.624194,37.98756161,744.5905301,13150.50436,1796.749567,22838.68834,15111.54939,15097.9794,464.309502,22838.68834,31.8057808,
Louisiana,881.1387855,19.78567211,3795.924519,16643.91372,1643.205269,50222.08488,14480.52238,15497.11613,1297.608756,50222.08488,24.20712261,
Maine,104.2197198,6.271334261,138.6617684,4760.186387,500.6592897,12882.96653,6322.82993,5684.584692,906.7061373,12882.96653,6.410983738,
Maryland,339.0077594,32.98955063,326.9579064,16802.95608,2340.575856,30503.15638,52110.27277,18743.25483,144.5426302,30503.15638,10.49032985,
Massachusetts,42.11219882,42.12203684,721.8454494,26337.28069,2079.467602,33818.85024,35692.50915,22656.74158,139.3876251,33818.85024,3.26224881,
Michigan,1805.541916,54.16595261,1741.848772,36426.87026,3606.869949,83327.58955,47033.45788,37124.70188,554.1690765,83327.58955,12.46417394,
Minnesota,5129.608421,35.84428974,744.1719018,25575.53781,2644.748187,55010.85841,22066.0352,18240.64679,586.6640509,55010.85841,29.56512497,
Mississippi,1094.590106,4.466567212,809.8808555,8278.706461,936.8640391,25374.02955,7929.810066,9846.861321,1565.887249,25374.02955,19.64687125,
Missouri,3473.942778,68.20764228,687.9551864,24275.27692,2374.513895,38904.99847,33436.81816,21285.30087,386.8256966,38904.99847,60.56291749,
Montana,2311.727913,7.668255325,219.4203696,4369.549853,241.814134,4113.267044,2404.135192,3567.493836,266.3835562,4113.267044,66.15343167,
Nebraska,4584.423377,10.05340823,231.7036772,8292.658044,869.6162819,5942.150716,7741.586817,6319.751801,26.9228005,5942.150716,78.4029709,
Nevada,145.19537,53.95050052,111.6089619,7215.617078,2400.53319,7408.350252,27880.47774,7497.083976,4.899841519,7408.350252,11.51942835,
New Hampshire,25.38134432,6.398882247,195.2307431,5706.085761,540.2115552,12814.20993,7914.94328,4799.746156,292.6277287,12814.20993,6.301593506,
New Jersey,117.5866604,57.92495405,769.2827481,46170.45984,2896.860467,52705.85814,60518.46509,28767.17928,102.3141732,52705.85814,2.307241795,
New Mexico,226.4009956,13.43583787,1197.363278,5828.857035,794.2848546,5153.186686,8989.910443,6820.774333,28.73816249,5153.186686,42.04567426,
New York,1017.117385,132.9508803,1429.102079,99411.45795,5151.095398,88152.46238,59669.99474,66394.92064,360.765843,88152.46238,21.61585333,
North Carolina,1139.244637,66.17211606,1197.276524,33678.4582,4767.939027,47349.8477,64570.536,30658.90889,1296.990473,47349.8477,16.80754592,
North Dakota,5264.573079,3.648932732,363.3441908,4232.826837,276.3370841,3762.616013,1295.587036,2516.069432,4.846727177,3762.616013,26.25591183,
Ohio,2655.310427,36.89410962,2219.052576,45207.82478,4107.916927,51592.01303,85727.72092,41710.23348,209.1007385,51592.01303,48.29802335,
Oklahoma,2037.705714,13.83455237,2987.181307,13490.91545,1300.49984,22293.80057,23214.14266,12705.53189,216.2971861,22293.80057,29.3552733,
Oregon,824.8770012,21.01230036,398.8044318,16225.37058,1765.177129,20464.92363,23722.01842,12791.75683,1145.890237,20464.92363,12.76333207,
Pennsylvania,1078.706498,80.53386898,1956.325512,45403.13966,3753.675492,33904.80732,71120.42081,45572.47416,442.8748151,33904.80732,28.36090231,
Rhode Island,4.712275039,8.554161209,129.9413958,4132.377666,286.4872997,4909.107032,4443.315902,3795.473144,11.11379075,4909.107032,0.001893336,
South Carolina,363.4979697,6.981324223,590.0017095,13781.10213,2459.098107,32985.20961,31937.45025,15041.39393,949.3148422,32985.20961,14.07119838,
South Dakota,3567.843845,3.973151995,85.55132857,3744.531307,302.2712452,4324.687312,2030.057222,2842.672901,38.21575475,4324.687312,4.820069048,
Tennessee,1154.357528,53.11741677,884.4981219,21242.26408,2651.232857,34131.69796,32144.40708,20916.15109,538.7641982,34131.69796,32.8381958,
Texas,4693.983453,209.6647217,13327.21876,88936.81207,11422.29573,78482.10794,131979.2564,70083.75012,1032.820705,78482.10794,118.7177862,
Utah,254.1326335,23.13978325,602.4467475,9336.216584,1266.791488,9966.035022,10278.01775,6916.21087,22.31743848,9966.035022,13.11368456,
Vermont,120.2387261,1.295613248,94.55899108,2424.737583,219.7854044,3477.282912,2723.470232,2562.29761,170.032618,3477.282912,3.045554303,
Virginia,693.820314,56.45433914,715.5408801,21303.64996,3796.74358,35218.02849,65942.93297,25291.48285,875.8060713,35218.02849,44.41660718,
Washington,1294.316525,46.34507722,618.8581525,26984.6212,3016.672484,36734.06597,38704.3366,21612.77116,1148.95391,36734.06597,23.6897483,
West Virginia,171.5223257,3.689759509,651.5714332,4762.976214,435.6321838,6375.306344,6833.76469,7287.993044,328.4877904,6375.306344,17.13930445,
Wisconsin,2360.90524,17.49722247,1056.260044,21764.04167,2576.231046,39764.44217,25615.2167,20414.70941,675.8199314,39764.44217,17.0384265,
Wyoming,343.4252461,1.156603467,1037.82641,2324.287734,256.8611173,3018.343233,1637.731457,1949.460746,34.80474164,3018.343233,34.49524093,
